ID,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
1826,0,189,104,379,111,189,218,1,4,4,6,1
1,0,464,5,64,7,0,37,1,7,3,7,5
10476,0,134,11,59,15,2,30,1,3,2,5,2
1386,0,10,0,1,0,0,0,1,1,0,2,7
5371,0,6,16,24,11,0,34,2,3,1,2,7
7348,0,336,130,411,240,32,43,1,4,7,5,2
4073,0,769,80,252,15,34,65,1,10,10,7,6
1991,0,78,0,11,0,0,7,1,2,1,3,5
4047,0,384,0,102,21,32,5,3,6,2,9,4
9477,0,384,0,102,21,32,5,3,6,2,9,4
2079,0,450,26,535,73,98,26,1,5,6,10,1
5642,0,140,4,61,0,13,4,2,3,1,6,4
10530,0,431,82,441,80,20,102,1,3,6,6,1
2964,0,3,10,8,3,16,32,1,1,1,2,6
10311,0,16,4,12,2,4,321,0,25,0,0,1
837,0,63,6,57,13,13,22,4,2,1,5,4
10521,0,63,6,57,13,13,22,4,2,1,5,4
10175,0,18,0,2,0,0,2,1,1,0,3,4
1473,0,53,1,5,2,1,10,2,2,0,3,8
2795,0,5,0,3,0,0,5,1,1,0,2,7
2285,0,213,9,76,4,3,30,3,5,2,5,7
115,0,275,11,68,25,7,7,3,5,1,8,5
10470,0,40,2,23,0,4,23,2,2,1,3,4
4065,0,308,0,73,0,0,23,2,5,1,8,7
10968,0,266,21,300,65,8,44,4,8,8,6,6
5985,0,80,1,37,0,1,3,3,2,1,4,7
5430,0,454,0,171,8,19,32,12,9,2,8,8
8432,0,454,0,171,8,19,32,12,9,2,8,8
453,1,27,0,12,0,1,5,2,2,0,3,5
9687,1,184,174,256,50,30,32,1,5,4,6,2
8890,1,155,7,80,13,7,10,3,5,1,5,6
9264,1,423,42,706,73,197,197,1,4,8,9,2
5824,1,7,0,1,0,0,0,1,1,0,2,6
5794,1,408,0,21,0,0,17,3,7,1,7,8
3068,1,1,12,9,0,14,7,1,2,0,3,7
7962,1,1285,21,449,106,20,20,1,4,3,4,1
2681,1,71,22,112,138,89,29,1,2,3,13,1
10141,1,7,1,6,0,3,3,1,0,0,3,4
3725,1,1248,16,349,43,16,16,1,2,4,9,4
3767,1,378,0,189,97,172,172,2,5,5,12,3
5585,1,12,2,17,6,1,10,2,2,0,3,8
7030,1,1200,0,204,38,29,14,3,11,9,12,6
1524,1,709,45,115,30,160,45,1,8,2,5,5
3657,1,94,1,33,13,12,12,3,4,0,4,8
5740,1,4,2,12,7,5,26,2,1,2,2,6
9595,1,539,169,816,20,0,30,1,4,5,4,3
3158,1,13,3,6,6,5,6,1,1,0,3,8
5114,1,670,9,249,0,28,9,2,5,4,5,4
340,1,158,35,179,0,0,125,2,7,2,8,5
8805,1,283,10,38,0,13,27,4,7,2,4,8
1241,1,13,3,8,7,4,16,2,1,0,3,9
1402,1,496,36,460,189,60,12,3,4,8,6,3
7264,2,12,0,4,0,0,1,1,1,0,2,8
1619,2,292,51,981,224,23,17,1,4,6,6,1
6398,2,7,10,13,16,0,4,2,3,0,3,8
1857,2,46,0,12,0,2,23,2,2,1,2,7
4877,2,34,0,7,0,0,0,1,1,0,3,7
3066,2,167,0,43,6,2,13,2,4,2,4,5
10286,2,318,8,407,150,35,8,1,2,8,13,0
1992,2,522,0,257,32,16,66,4,2,2,8,7
4246,2,67,11,26,4,3,262,0,1,0,1,17
10623,2,28,0,4,0,0,0,1,1,0,3,5
4867,2,58,0,18,2,0,10,4,3,0,4,7
3112,2,2,4,9,0,4,5,1,1,0,3,5
4865,2,229,7,140,10,3,11,7,5,1,8,7
6287,2,14,0,16,0,0,6,1,1,1,2,6
4405,2,622,7,115,30,0,15,2,6,3,12,5
5332,2,362,50,431,134,35,54,1,3,6,7,1
1519,2,38,4,22,3,3,3,3,3,0,3,8
9080,2,38,4,22,3,3,3,3,3,0,3,8
1772,2,1074,37,518,193,92,129,1,5,6,7,2
5341,2,983,76,184,180,138,27,1,6,3,4,7
5510,2,262,6,61,0,10,102,3,5,2,6,5
3887,2,3,17,26,20,1,39,2,2,0,3,9
7022,2,739,107,309,140,80,35,1,2,5,13,6
9999,2,610,105,125,137,42,21,1,9,4,9,5
10352,2,50,4,28,6,3,26,3,3,1,2,9
7919,2,1285,105,653,28,21,0,1,10,4,8,8
4114,2,650,37,780,27,167,32,1,6,9,13,3
7990,2,9,1,2,3,2,0,1,0,0,3,6
9888,3,458,81,356,106,50,40,1,4,4,7,2
4399,3,458,81,356,106,50,40,1,4,4,7,2
4452,3,292,6,37,0,3,34,4,6,1,6,7
4785,3,520,7,154,19,0,14,2,6,3,11,3
8461,3,14,0,1,0,0,1,1,1,0,2,7
3878,3,3,4,7,15,8,11,1,1,0,3,7
9612,3,1,8,6,4,8,16,1,1,0,3,7
4098,3,20,3,16,0,4,1,3,2,0,4,6
158,3,345,53,528,98,75,97,1,8,3,5,4
3896,3,22,1,11,0,1,2,1,1,0,3,7
9970,3,42,11,57,10,28,14,1,1,1,6,2
4002,3,463,96,333,168,53,10,1,7,7,12,3
10914,3,4,1,7,2,1,2,2,1,0,3,4
7279,3,260,86,559,63,9,67,1,4,6,4,2
10582,3,180,32,348,76,32,90,2,5,2,12,2
4470,3,62,1,44,6,5,22,1,2,1,4,4
6183,3,62,1,44,6,5,22,1,2,1,4,4
6379,3,67,1,20,0,2,31,3,2,2,2,7
8601,3,421,76,536,82,178,102,2,8,6,5,4
4827,3,154,22,202,39,30,8,5,4,2,9,4
6715,3,502,19,132,0,6,26,6,6,2,11,6
10676,3,145,193,459,205,26,145,2,3,8,7,2
1041,3,322,3,50,4,3,42,5,7,1,6,8
492,3,322,3,50,4,3,42,5,7,1,6,8
11133,3,322,3,50,4,3,42,5,7,1,6,8
4491,3,1099,0,45,0,0,34,11,3,4,10,8
873,3,1099,0,45,0,0,34,11,3,4,10,8
1631,3,890,63,292,0,25,12,4,8,4,7,6
8278,3,863,83,547,86,99,33,1,8,2,5,5
6815,4,448,21,125,52,101,62,0,7,6,8,2
254,4,399,4,30,6,4,30,3,7,1,7,7
1349,4,85,7,24,2,3,27,1,3,1,3,6
2534,4,97,1,41,6,2,41,2,4,1,3,7
2130,4,35,3,67,10,8,24,1,3,1,3,6
2296,4,3,2,11,2,2,10,1,1,0,2,6
3799,4,315,35,322,46,7,143,3,7,2,11,5
11084,4,738,0,232,13,20,50,2,3,5,7,7
5172,4,738,0,232,13,20,50,2,3,5,7,7
9504,4,179,28,520,111,123,47,1,3,8,13,1
850,4,381,28,215,84,28,21,2,6,5,9,3
4477,4,247,49,159,7,82,109,1,5,2,10,4
1945,4,711,36,217,172,96,168,3,7,4,7,4
7685,4,30,8,12,8,8,12,1,2,0,4,5
6310,4,30,8,12,8,8,12,1,2,0,4,5
10832,4,288,10,30,4,10,125,1,6,1,6,6
3025,4,212,6,69,4,12,3,3,6,1,5,7
2404,4,173,4,30,3,6,41,4,5,1,4,7
8581,4,604,0,100,19,0,28,9,10,2,8,8
8755,4,482,34,471,119,68,22,1,3,5,9,7
10177,4,531,69,300,150,138,150,3,5,4,8,2
2429,4,531,69,300,150,138,150,3,5,4,8,2
8920,4,448,40,469,80,0,91,3,11,2,12,7
8430,4,9,0,6,3,1,3,1,0,0,3,5
8619,4,9,0,6,3,1,3,1,0,0,3,5
8996,4,230,42,192,49,37,53,12,7,2,8,9
7233,4,496,32,849,229,48,128,2,5,3,6,4
6678,5,33,4,24,4,2,5,2,3,0,4,7
830,5,784,48,560,42,176,48,1,4,6,4,3
6365,5,10,12,12,25,1,20,1,2,0,3,6
6770,5,5,13,14,0,5,31,2,2,1,2,6
2261,5,4,1,5,2,0,4,1,1,0,2,7
1031,5,600,20,350,29,30,33,1,6,9,10,2
10089,5,168,148,444,32,172,148,1,6,9,13,2
9256,5,493,26,206,116,80,80,4,8,3,12,6
10641,5,6,5,4,13,4,25,4,2,1,3,6
624,5,6,4,1,7,2,15,1,0,1,2,6
4211,5,4,12,5,3,16,17,2,2,0,3,7
1407,5,4,12,5,3,16,17,2,2,0,3,7
10356,5,29,0,2,0,0,1,1,1,0,3,7
9323,5,520,8,223,32,49,42,4,10,5,7,8
1146,5,520,8,223,32,49,42,4,10,5,7,8
6343,6,835,73,380,114,73,43,1,6,9,7,2
8545,6,1296,17,311,45,69,51,1,2,4,10,1
8275,6,16,0,3,0,0,1,1,1,0,2,7
10673,6,760,80,466,17,13,80,1,6,9,5,3
8799,6,70,6,69,2,3,3,3,3,1,4,7
67,6,68,0,16,0,0,8,3,2,0,4,7
9923,6,68,0,16,0,0,8,3,2,0,4,7
2814,6,9,1,5,4,5,7,1,1,0,3,7
2711,6,9,1,5,4,5,7,1,1,0,3,7
4320,6,325,83,300,86,58,91,1,6,4,12,3
10451,6,9,1,3,0,4,8,1,0,0,3,6
4198,6,9,1,3,0,4,8,1,0,0,3,6
10814,6,303,23,751,82,26,191,1,6,5,13,4
944,6,121,103,69,8,44,48,1,4,2,7,4
8151,6,16,36,21,20,62,108,1,4,1,3,8
6184,6,561,64,785,84,128,48,1,3,3,8,1
3498,6,462,61,184,10,53,107,4,7,5,9,6
2870,6,376,0,38,11,8,69,5,6,3,6,6
7342,6,341,142,113,259,151,66,3,6,6,12,5
1911,6,595,97,291,127,133,121,1,11,5,12,6
10862,6,179,8,83,19,11,26,5,1,2,9,2
2546,7,23,4,5,10,5,23,1,1,0,4,3
3005,7,530,117,678,134,44,147,1,4,10,8,1
8318,7,594,134,786,33,134,57,0,5,6,8,1
2930,7,852,60,207,78,36,48,2,2,6,10,5
8216,7,158,0,76,13,7,71,6,4,4,3,5
1212,7,384,25,292,130,41,64,3,8,8,6,6
2541,7,14,7,11,11,0,5,2,2,0,3,8
10659,7,2,8,11,3,8,21,4,3,2,2,7
10905,7,194,2,56,0,0,0,5,4,1,6,8
8910,7,194,2,56,0,0,0,5,4,1,6,8
7349,7,6,17,16,6,16,42,4,3,1,3,8
7872,7,179,21,273,0,21,63,1,6,10,6,5
4290,8,1,3,8,2,5,5,1,1,0,2,7
7408,8,216,2,6,0,0,9,2,5,1,4,7
9986,8,16,0,23,3,2,10,3,4,1,2,7
8235,8,428,30,214,80,30,61,2,6,5,10,3
10949,8,1092,37,592,145,37,55,1,5,5,8,3
7284,8,10,0,7,2,0,1,1,1,0,2,8
9529,8,559,153,503,218,13,181,1,3,9,9,2
9930,8,606,148,228,15,148,22,1,6,8,13,2
10270,8,11,5,22,12,5,11,2,3,0,3,7
760,8,588,7,76,110,15,15,2,8,4,9,6
5519,8,316,58,161,76,51,135,1,6,9,4,5
232,8,279,83,88,32,14,34,1,4,2,10,3
3009,8,1462,16,128,0,0,160,1,5,3,6,6
6518,8,546,0,48,0,6,6,1,7,3,8,5
10669,8,277,21,64,62,21,25,2,3,2,10,3
5682,8,948,10,86,13,21,21,4,6,9,11,5
1570,8,664,9,240,50,19,57,2,7,7,10,4
1497,8,268,11,88,15,3,22,2,6,3,5,5
9723,8,530,142,217,62,9,56,4,7,4,13,5
7261,8,199,33,60,8,3,15,5,5,2,5,8
2452,8,199,33,60,8,3,15,5,5,2,5,8
5621,8,73,57,100,71,15,0,5,6,1,5,9
10995,8,16,5,30,8,7,26,3,3,0,4,8
7373,8,96,12,96,33,22,43,6,4,1,6,6
5331,8,587,51,898,247,0,86,1,3,6,7,2
263,9,56,19,29,2,14,25,1,3,1,3,8
4619,9,6,2,3,1,262,3,0,27,0,0,1
940,9,158,11,99,15,11,17,2,3,2,7,3
10084,9,3,2,8,20,0,17,2,2,1,2,7
6019,9,45,3,9,4,4,7,1,1,2,2,6
1463,9,8,2,5,3,0,3,1,1,0,2,7
6424,9,12,6,2,11,2,16,1,1,0,3,4
8233,9,508,5,21,7,5,10,4,7,3,7,5
1515,9,11,2,7,4,2,2,1,1,0,3,3
10855,9,234,14,77,19,10,42,2,4,1,8,5
10909,9,992,24,694,51,19,119,0,5,10,5,1
3376,9,125,6,73,8,4,19,1,3,1,6,4
10232,9,174,18,81,28,6,24,3,3,2,7,3
5547,9,1478,19,403,0,19,0,1,7,6,6,3
8362,9,1478,19,403,0,19,0,1,7,6,6,3
3524,9,80,1,60,4,6,16,2,5,1,2,9
10095,9,1001,12,240,16,12,12,1,5,4,10,2
8897,9,392,5,91,28,26,112,8,7,3,7,8
466,9,388,14,218,91,14,21,1,4,3,13,2
11025,9,65,0,46,4,3,20,4,3,1,3,8
2387,9,177,2,71,3,2,20,6,5,2,4,8
1618,9,577,0,64,0,0,51,2,10,1,8,8
25,9,460,35,422,33,12,153,2,6,6,7,4
3277,9,219,3,100,26,0,17,2,7,1,5,8
8566,10,5,0,3,0,0,1,1,1,0,2,7
2634,10,5,7,31,15,4,7,3,2,1,3,6
8036,10,31,1,13,7,2,9,4,2,1,4,4
8159,10,117,0,22,13,0,30,3,4,1,3,7
7628,10,30,5,24,6,3,8,2,2,0,4,5
9597,10,236,106,189,23,41,130,1,7,2,9,4
1384,10,6,4,14,8,8,22,2,2,1,2,8
10150,10,464,28,873,29,18,37,0,7,4,7,2
3885,10,16,2,18,3,0,24,1,1,1,2,8
11003,10,2,5,7,0,18,18,2,2,0,3,7
8026,10,120,58,73,65,89,58,5,5,4,5,5
577,10,9,1,7,0,3,2,2,1,0,3,7
8702,10,9,1,7,0,3,2,2,1,0,3,7
5429,10,145,1,33,2,1,1,1,4,1,4,6
977,10,200,19,111,50,15,19,6,5,1,8,6
2793,10,532,88,168,69,44,133,3,7,3,13,5
1071,10,532,88,168,69,44,133,3,7,3,13,5
5074,10,30,0,10,2,0,5,1,1,0,3,7
2632,10,297,0,38,13,0,152,7,5,4,4,6
6404,10,151,7,89,0,7,28,5,4,1,6,5
10240,10,997,26,269,34,13,42,1,10,4,6,4
2521,10,23,1,13,2,2,18,1,1,1,2,7
4301,10,23,1,13,2,2,18,1,1,1,2,7
7381,10,797,153,293,72,97,30,1,11,4,6,4
2407,10,823,25,459,124,29,95,1,6,6,7,4
9064,10,823,25,459,124,29,95,1,6,6,7,4
5067,11,966,26,282,52,26,26,1,2,7,11,5
10281,11,180,60,241,13,54,54,2,5,5,7,4
11191,11,37,32,38,11,3,18,1,2,1,4,6
1994,11,5,5,6,0,2,1,1,1,0,2,7
2552,11,416,0,26,0,0,4,9,6,3,6,7
6720,11,314,11,53,4,3,107,3,7,3,4,7
4557,11,10,7,19,8,2,21,2,2,2,2,6
1183,11,9,1,4,3,2,3,1,1,0,2,6
4186,11,18,6,15,12,8,17,3,2,1,3,5
1419,11,18,6,15,12,8,17,3,2,1,3,5
967,11,342,9,112,19,14,19,10,5,2,9,7
1048,11,63,3,67,8,9,28,2,3,1,4,7
9262,11,20,6,5,0,9,12,1,1,0,3,7
3427,11,629,0,70,0,0,35,6,11,2,7,8
5892,11,158,6,45,8,2,2,7,3,2,5,7
8911,11,201,53,172,116,77,83,3,5,4,9,4
6606,11,964,34,137,15,0,11,2,5,2,10,8
2677,11,72,24,68,65,4,8,5,3,1,6,4
252,11,123,133,142,71,44,88,1,6,2,8,6
9860,11,159,0,22,2,1,31,3,4,1,4,7
1388,11,6,10,21,19,14,42,2,2,1,3,6
979,11,6,10,21,19,14,42,2,2,1,3,6
7494,11,209,0,40,3,2,15,4,6,1,4,8
10490,11,100,64,79,65,0,109,2,6,2,4,7
3403,11,1170,19,594,99,76,134,2,2,5,12,6
2715,11,70,3,37,4,2,64,4,3,2,2,9
4828,12,71,99,278,185,121,38,1,5,10,5,1
92,12,5,7,24,19,14,20,4,3,0,4,6
3312,12,5,7,24,19,14,20,4,3,0,4,6
11176,12,376,9,83,19,4,4,2,5,4,7,3
1446,12,387,68,569,89,45,68,1,6,9,12,1
9699,12,357,35,271,28,28,14,3,6,2,12,5
9790,12,912,72,170,47,36,97,1,11,3,4,4
2324,12,625,38,242,50,34,76,2,7,11,11,4
5080,12,420,0,452,182,64,140,1,6,6,4,2
4992,12,6,4,16,3,10,30,3,3,1,2,7
7849,12,209,19,456,160,142,66,1,2,9,13,1
4808,12,1,2,5,6,0,3,1,1,0,2,7
